a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.49-1
acl 2.2.52-4
acpid 2.0.29-2
adapta-gtk-theme 3.93.1.14-1
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
antergos-alerts 17.11.18-1
antergos-common-meta 1.1-1
antergos-desktop-settings 1.10-1
antergos-gnome-defaults-list 1.1-3
antergos-gnome-meta 1.1-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20170930-1
antergos-wallpapers 0.7-3
appstream-glib 0.7.7-1
arc-gtk-theme 20180114-1
archlinux-appstream-data 20180424-1
archlinux-keyring 20180404-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
aurman 2.9.25-1
autoconf 2.69-4
autoconf-archive 1:2018.03.13-1
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
b43-fwcutter 019-1
babl 0.1.46-2
bamf 0.5.3-2
baobab 3.28.0-1
bash 4.4.019-1
bash-completion 2.8-1
bc 1.07.1-1
bind-tools 9.12.1.P2-1
binutils 2.30-4
bison 3.0.4-3
bluez 5.49-4
bluez-libs 5.49-4
bluez-utils 5.49-4
boost-libs 1.66.0-2
brasero 3.12.2-2
bridge-utils 1.6-2
brotli 1.0.4-1
btrfs-progs 4.16-2
bubblewrap 0.2.1-1
bzip2 1.0.6-7
bzr 2.7.0-2
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.37-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.28.0-1
chromaprint 1.4.3-2
chromium 66.0.3359.181-1
cifs-utils 6.7-2
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cmake 3.11.1-1
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.3-1
colord-gtk 0.1.26+5+ga9d9c91-1
coreutils 8.29-1
cracklib 2.9.6-1
crda 4.14-1
cryfs 0.9.9-4
crypto++ 7.0.0-1
cryptsetup 2.0.3-1
cups 2.2.7-2
cups-filters 1.20.3-2
cups-pk-helper 0.2.6-1
curl 7.60.0-1
db 5.3.28-3
